date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:02:50	56/56	---M-Z	200	added ('OK')	text/plain	etag:%229a9b825f69845b06bcdf510d8b7497e8%22	https://pgi.playbattlegrounds.com/robots.txt		(from )
02:02:51	45677/45677	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:17%20GMT	https://pgi.playbattlegrounds.com/	C:/O/PUBG/pgi.playbattlegrounds.com/3r4n_ao3.html	(from )
02:02:51	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:50%20GMT	http://pgi.playbattlegrounds.com/assets/img/favicon/cropped-pubg-favicon-L-32x32.png	C:/O/PUBG/pgi.playbattlegrounds.com/10giv4gg.delayed	(from https://pgi.playbattlegrounds.com/)
02:02:51	884/884	---M--	200	added ('OK')	image/png	etag:%221467521b8503a9ea0a160e8cd5392406%22	https://pgi.playbattlegrounds.com/assets/img/favicon/cropped-pubg-favicon-L-32x32.png	C:/O/PUBG/pgi.playbattlegrounds.com/gj5zos9o.png	(from https://pgi.playbattlegrounds.com/)
02:02:51	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:51%20GMT	http://pgi.playbattlegrounds.com/assets/img/favicon/cropped-pubg-favicon-L-192x192.png	C:/O/PUBG/pgi.playbattlegrounds.com/hflw5u2x.png	(from https://pgi.playbattlegrounds.com/)
02:02:51	2418/2418	---M--	200	added ('OK')	image/png	etag:%22d99132cdd5b9d8c2e68d0d805cd15ddc%22	https://pgi.playbattlegrounds.com/assets/img/favicon/cropped-pubg-favicon-L-192x192.png	C:/O/PUBG/pgi.playbattlegrounds.com/x0_cx8s6.png	(from https://pgi.playbattlegrounds.com/)
02:02:52	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:51%20GMT	http://pgi.playbattlegrounds.com/assets/img/favicon/cropped-pubg-favicon-L-180x180.png	C:/O/PUBG/pgi.playbattlegrounds.com/zz8156lt.png	(from https://pgi.playbattlegrounds.com/)
02:02:52	2289/2289	---M--	200	added ('OK')	image/png	etag:%22627180a024fa56ba96ac29b008166146%22	https://pgi.playbattlegrounds.com/assets/img/favicon/cropped-pubg-favicon-L-180x180.png	C:/O/PUBG/pgi.playbattlegrounds.com/ehjgyic1.png	(from https://pgi.playbattlegrounds.com/)
02:02:52	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:52%20GMT	http://pgi.playbattlegrounds.com/assets/img/favicon/cropped-pubg-favicon-L-270x270.png	C:/O/PUBG/pgi.playbattlegrounds.com/zz8156lt.png	(from https://pgi.playbattlegrounds.com/)
02:02:52	3220/3220	---M--	200	added ('OK')	image/png	etag:%22ea685c46d666eb51ea82bb86e2ff5cf2%22	https://pgi.playbattlegrounds.com/assets/img/favicon/cropped-pubg-favicon-L-270x270.png	C:/O/PUBG/pgi.playbattlegrounds.com/ehjgyic1-2.png	(from https://pgi.playbattlegrounds.com/)
02:02:53	12955/12955	---M--	200	added ('OK')	image/png	etag:%2214e7ba7c0830dee63944d98e2acb5cd2%22	https://pgi.playbattlegrounds.com/assets/img/logo/logo_gold_flat.png	C:/O/PUBG/pgi.playbattlegrounds.com/aqj-gehq.png	(from https://pgi.playbattlegrounds.com/)
02:02:53	44130/44130	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	C:/O/PUBG/www.google-analytics.com/q-rr3ps9.js	(from https://pgi.playbattlegrounds.com/)
02:02:54	63007/63007	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2020%20Feb%202019%2020:02:53%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-N5676J4	C:/O/PUBG/www.googletagmanager.com/twjfkmyt.js	(from https://pgi.playbattlegrounds.com/)
02:02:54	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2020%20Feb%202019%2020:02:54%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/O/PUBG/www.googletagmanager.com/xt1-2bvm.delayed	(from https://pgi.playbattlegrounds.com/)
02:02:54	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:54%20GMT	http://pgi.playbattlegrounds.com/styles.96c6f0a423bc5e8a96da.bundle.css	C:/O/PUBG/pgi.playbattlegrounds.com/75n3xjj-.css	(from https://pgi.playbattlegrounds.com/)
02:02:56	71708/71708	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20Jul%202018%2019:37:19%20GMT	https://pgi.playbattlegrounds.com/styles.96c6f0a423bc5e8a96da.bundle.css	C:/O/PUBG/pgi.playbattlegrounds.com/mz0iqx-i.css	(from https://pgi.playbattlegrounds.com/)
02:02:56	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:55%20GMT	http://pgi.playbattlegrounds.com/assets/img/logo/nav_logo.png	C:/O/PUBG/pgi.playbattlegrounds.com/18huodt4.png	(from https://pgi.playbattlegrounds.com/)
02:02:56	2007/2007	---M--	200	added ('OK')	image/png	etag:%22690dd5eab9a0dc5801625420601dab34%22	https://pgi.playbattlegrounds.com/assets/img/logo/nav_logo.png	C:/O/PUBG/pgi.playbattlegrounds.com/g2u-hrj0.png	(from https://pgi.playbattlegrounds.com/)
02:02:56	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:56%20GMT	http://pgi.playbattlegrounds.com/assets/img/bkg_about_intro_chutes3.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/l4mqkdse.jpg	(from https://pgi.playbattlegrounds.com/)
02:02:56	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:56%20GMT	http://pgi.playbattlegrounds.com/about	C:/O/PUBG/pgi.playbattlegrounds.com/zo49v0hx	(from https://pgi.playbattlegrounds.com/)
02:02:57	277649/277649	---M--	200	added ('OK')	image/jpeg	etag:%22399c34ba4a620d5781b3e4c15df06c0e%22	https://pgi.playbattlegrounds.com/assets/img/bkg_about_intro_chutes3.jpg	C:/O/PUBG/pgi.playbattlegrounds.com/2n_8c2jn.jpg	(from https://pgi.playbattlegrounds.com/)
02:02:57	125161/125161	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:27%20GMT	https://pgi.playbattlegrounds.com/about	C:/O/PUBG/pgi.playbattlegrounds.com/eiepno96.html	(from https://pgi.playbattlegrounds.com/)
02:02:57	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:57%20GMT	http://pgi.playbattlegrounds.com/teams	C:/O/PUBG/pgi.playbattlegrounds.com/v50aqnkz	(from https://pgi.playbattlegrounds.com/)
02:02:58	53582/53582	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:29%20GMT	https://pgi.playbattlegrounds.com/teams	C:/O/PUBG/pgi.playbattlegrounds.com/aoar9bb7.html	(from https://pgi.playbattlegrounds.com/)
02:02:58	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:58%20GMT	http://pgi.playbattlegrounds.com/schedule	C:/O/PUBG/pgi.playbattlegrounds.com/_2y705r7	(from https://pgi.playbattlegrounds.com/)
02:02:59	58020/58020	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Jul%202018%2019:37:29%20GMT	https://pgi.playbattlegrounds.com/schedule	C:/O/PUBG/pgi.playbattlegrounds.com/px-nthhe.html	(from https://pgi.playbattlegrounds.com/)
02:03:00	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2020%20Feb%202019%2020:02:59%20GMT	http://pgi.playbattlegrounds.com/standings	C:/O/PUBG/pgi.playbattlegrounds.com/3j01bl8f	(from https://pgi.playbattlegrounds.com/)
